id,recipe_name,cuisine_type,ingredients,cooking_instructions,dietary_preferences,difficulty
1,Spaghetti Carbonara,Italian,"Spaghetti, Eggs, Pancetta, Pecorino Romano cheese, Black pepper","1. Cook spaghetti in salted water until al dente. 2. Fry pancetta until crisp. 3. Whisk eggs and cheese. 4. Drain pasta, mix with pancetta, then quickly stir in egg mixture. 5. Season with black pepper and serve.",None,Medium
2,Chicken Tikka Masala,Indian,"Chicken breast, Yogurt, Lemon juice, Garam masala, Tomato puree, Cream, Onion, Garlic, Ginger","1. Marinate chicken in yogurt and spices. 2. Grill chicken until charred. 3. Sauté onion, garlic, and ginger. 4. Add tomato puree and cream. 5. Simmer with grilled chicken. Serve with rice.",Gluten-free,Medium
3,Vegan Banana Bread,American,"Ripe bananas, Almond milk, Vegetable oil, Brown sugar, Flour, Baking soda, Cinnamon","1. Mash bananas and mix with wet ingredients. 2. Combine dry ingredients separately. 3. Mix wet and dry ingredients. 4. Pour into loaf pan. 5. Bake at 350°F for 60 minutes.",Vegan,Easy
4,Beef Bourguignon,French,"Beef chuck, Bacon, Red wine, Beef broth, Carrots, Onions, Mushrooms, Thyme","1. Brown bacon and beef. 2. Add vegetables and sauté. 3. Add wine and broth, simmer for 2-3 hours. 4. Sauté mushrooms separately. 5. Combine and serve.",None,Hard
5,Miso Soup,Japanese,"Dashi stock, Miso paste, Tofu, Wakame seaweed, Green onions","1. Heat dashi stock. 2. Dissolve miso paste in stock. 3. Add tofu and wakame. 4. Simmer gently. 5. Garnish with green onions.",Vegetarian,Easy
6,Greek Salad,Greek,"Tomatoes, Cucumbers, Red onion, Feta cheese, Kalamata olives, Olive oil, Oregano","1. Chop tomatoes and cucumbers into chunks. 2. Slice red onion thinly. 3. Combine vegetables in a bowl. 4. Add crumbled feta and olives. 5. Drizzle with olive oil and sprinkle with oregano. 6. Toss gently and serve.",Vegetarian,Easy
7,Paella,Spanish,"Short-grain rice, Chicken thighs, Chorizo, Shrimp, Mussels, Bell peppers, Peas, Saffron, Garlic, Tomatoes, Chicken broth","1. Brown chicken and chorizo in a paella pan. 2. Add rice, garlic, and saffron, stirring to coat. 3. Pour in broth and simmer. 4. Add vegetables and seafood. 5. Cook until rice is tender and a crust forms on the bottom. 6. Let rest before serving.",None,Hard
8,Pho,Vietnamese,"Beef bones, Rice noodles, Beef sirloin, Bean sprouts, Thai basil, Lime, Hoisin sauce, Sriracha, Star anise, Cinnamon, Ginger","1. Simmer beef bones with spices to make broth (6-8 hours). 2. Cook rice noodles. 3. Slice raw beef thinly. 4. Assemble bowls with noodles and beef. 5. Pour hot broth over to cook beef. 6. Serve with garnishes.",None,Medium
9,Shakshuka,Middle Eastern,"Eggs, Tomatoes, Bell peppers, Onions, Garlic, Cumin, Paprika, Cayenne pepper, Olive oil","1. Sauté onions and peppers until soft. 2. Add garlic and spices, then tomatoes. Simmer. 3. Make wells in the sauce and crack eggs into them. 4. Cover and cook until eggs are set. 5. Serve with bread.",Vegetarian,Medium
10,Chocolate Chip Cookies,American,"Flour, Butter, Brown sugar, White sugar, Eggs, Vanilla extract, Baking soda, Salt, Chocolate chips","1. Cream butter and sugars. 2. Beat in eggs and vanilla. 3. Mix in dry ingredients. 4. Fold in chocolate chips. 5. Drop spoonfuls onto baking sheet. 6. Bake at 375°F for 9-11 minutes.",None,Easy
11,Sushi Rolls,Japanese,"Sushi rice, Nori sheets, Avocado, Cucumber, Imitation crab, Rice vinegar, Wasabi, Soy sauce","1. Prepare sushi rice with vinegar. 2. Place nori on bamboo mat. 3. Spread rice on nori. 4. Add fillings. 5. Roll tightly. 6. Slice into pieces. 7. Serve with wasabi and soy sauce.",None,Medium
12,Guacamole,Mexican,"Avocados, Lime juice, Red onion, Tomatoes, Cilantro, Jalapeño, Salt","1. Mash avocados. 2. Finely chop onion, tomatoes, cilantro, and jalapeño. 3. Mix all ingredients. 4. Season with lime juice and salt. 5. Serve with tortilla chips.",Vegan,Easy
13,Beef Wellington,British,"Beef tenderloin, Puff pastry, Mushrooms, Prosciutto, Dijon mustard, Egg (for egg wash)","1. Sear beef. Brush with mustard. 2. Sauté and cool mushrooms. 3. Wrap beef in mushrooms and prosciutto. 4. Wrap in puff pastry. 5. Brush with egg wash. 6. Bake until golden and beef is cooked to desired doneness.",None,Hard
14,Pad Thai,Thai,"Rice noodles, Shrimp, Tofu, Eggs, Bean sprouts, Peanuts, Lime, Fish sauce, Tamarind paste, Palm sugar","1. Soak noodles. 2. Stir-fry shrimp and tofu. 3. Add beaten eggs. 4. Add noodles and sauce (made from fish sauce, tamarind, and sugar). 5. Toss with bean sprouts and peanuts. 6. Serve with lime wedges.",None,Medium
15,Ratatouille,French,"Eggplant, Zucchini, Bell peppers, Tomatoes, Onions, Garlic, Herbs de Provence, Olive oil","1. Slice vegetables. 2. Sauté onions and garlic. 3. Layer vegetables in a baking dish. 4. Drizzle with olive oil and sprinkle with herbs. 5. Bake until vegetables are tender.",Vegan,Medium
16,Wiener Schnitzel,Austrian,"Veal cutlets, Flour, Eggs, Breadcrumbs, Lemon, Parsley, Vegetable oil","1. Pound veal thin. 2. Dredge in flour, dip in beaten eggs, then coat with breadcrumbs. 3. Fry in oil until golden brown. 4. Serve with lemon wedges and parsley.",None,Medium
